"","title","votes","date","word"
"171.6","Specielt for alle danskere under 65 år - Forslag til folkeafstemning om hvorvidt danskerne er for eller imod EU",128,2018-06-14,"hvorvidt"
"171.7","Specielt for alle danskere under 65 år - Forslag til folkeafstemning om hvorvidt danskerne er for eller imod EU",128,2018-06-14,"danskerne"
"171.8","Specielt for alle danskere under 65 år - Forslag til folkeafstemning om hvorvidt danskerne er for eller imod EU",128,2018-06-14,"imod"
"171.9","Specielt for alle danskere under 65 år - Forslag til folkeafstemning om hvorvidt danskerne er for eller imod EU",128,2018-06-14,"eu"
"172","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"fuldstændig"
"172.1","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"fjernelse"
"172.2","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"gensidig"
"172.3","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"forsørgelse"
"172.4","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"førtidspension"
"172.5","Fuldstændig fjernelse af gensidig forsørgelse på førtidspension og folkepension.",31903,2018-06-18,"folkepension"
"173","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"forslag"
"173.1","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"lavere"
"173.2","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"transportudgifter"
"173.3","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"elever"
"173.4","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"praktik"
"173.5","Forslag om lavere transportudgifter for elever der er i praktik på en erhvervsuddannelse",63,2018-06-18,"erhvervsuddannelse"
"174","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"forslag"
"174.1","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"begrænsning"
"174.2","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"indkomster"
"174.3","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"maksimalt"
"174.4","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"3"
"174.5","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"millioner"
"174.6","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"kr"
"174.7","Forslag om begrænsning af indkomster til maksimalt 3 millioner kr. om året.",70,2018-06-20,"året"
"175","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"spærregrænsen"
"175.1","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"ved"
"175.2","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"folketingsvalg"
"175.3","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"foreslåes"
"175.4","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"hævet"
"175.5","Spærregrænsen ved folketingsvalg foreslåes hævet til 5%",118,2018-06-20,"5"
"176","Total afskaffelse af den gensidig forsørgelsespligt for førtidspensionister",1576,2018-06-20,"total"
"176.1","Total afskaffelse af den gensidig forsørgelsespligt for førtidspensionister",1576,2018-06-20,"afskaffelse"
"176.2","Total afskaffelse af den gensidig forsørgelsespligt for førtidspensionister",1576,2018-06-20,"gensidig"
"176.3","Total afskaffelse af den gensidig forsørgelsespligt for førtidspensionister",1576,2018-06-20,"forsørgelsespligt"
"176.4","Total afskaffelse af den gensidig forsørgelsespligt for førtidspensionister",1576,2018-06-20,"førtidspensionister"
"177","Væk med Danmarks EU-forbehold",180,2018-06-22,"væk"
"177.1","Væk med Danmarks EU-forbehold",180,2018-06-22,"danmarks"
"177.2","Væk med Danmarks EU-forbehold",180,2018-06-22,"eu"
"177.3","Væk med Danmarks EU-forbehold",180,2018-06-22,"forbehold"
"178","Gør Grundlovsdag til Danmarks officielle nationaldag",151,2018-06-27,"gør"
"178.1","Gør Grundlovsdag til Danmarks officielle nationaldag",151,2018-06-27,"grundlovsdag"
"178.2","Gør Grundlovsdag til Danmarks officielle nationaldag",151,2018-06-27,"danmarks"
"178.3","Gør Grundlovsdag til Danmarks officielle nationaldag",151,2018-06-27,"officielle"
"178.4","Gør Grundlovsdag til Danmarks officielle nationaldag",151,2018-06-27,"nationaldag"
"179","Tørklæde-forbud for offentligt ansatte",637,2018-06-27,"tørklæde"
"179.1","Tørklæde-forbud for offentligt ansatte",637,2018-06-27,"forbud"
"179.2","Tørklæde-forbud for offentligt ansatte",637,2018-06-27,"offentligt"
"179.3","Tørklæde-forbud for offentligt ansatte",637,2018-06-27,"ansatte"
"180","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"tvangsindlæg"
"180.1","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"kun"
"180.2","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"ved"
"180.3","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"fare"
"180.4","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"psykiateren"
"180.5","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"skønner"
"180.6","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"patienten"
"180.7","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"få"
"180.8","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"dårligere"
"180.9","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"uden"
"180.10","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"behandling"
"180.11","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"gule"
"180.12","Tvangsindlæg kun ved fare - ikke, hvis psykiateren skønner patienten vil få det dårligere uden hans behandling (""gule papirer"").",171,2018-06-27,"papirer"
"181","Skattefradrag for tandlægebesøg",422,2018-06-27,"skattefradrag"
"181.1","Skattefradrag for tandlægebesøg",422,2018-06-27,"tandlægebesøg"
"182","Afskaf Bruttoskatteordningen (Forskerskatteordningen)",36,2018-06-28,"afskaf"
"182.1","Afskaf Bruttoskatteordningen (Forskerskatteordningen)",36,2018-06-28,"bruttoskatteordningen"
"182.2","Afskaf Bruttoskatteordningen (Forskerskatteordningen)",36,2018-06-28,"forskerskatteordningen"
"183","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"ændringsforslag"
"183.1","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"færdselslovens"
"183.2","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"43"
"183.3","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"stk"
"183.4","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"3"
"183.5","Ændringsforslag til Færdselslovens § 43 stk. 3 og 4.",41,2018-06-28,"4"
"184","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"algoritmer"
"184.1","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"brug"
"184.2","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"rekruttering"
"184.3","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"må"
"184.4","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"indeholde"
"184.5","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"demografisk"
"184.6","Algoritmer til brug af rekruttering må ikke indeholde demografisk diskriminering.",33,2018-06-28,"diskriminering"
"185","Kvinder skal have ret til, at gå med Peberspray.",150,2018-06-28,"kvinder"
"185.1","Kvinder skal have ret til, at gå med Peberspray.",150,2018-06-28,"ret"
"185.2","Kvinder skal have ret til, at gå med Peberspray.",150,2018-06-28,"gå"
"185.3","Kvinder skal have ret til, at gå med Peberspray.",150,2018-06-28,"peberspray"
"186","Forbyd valgplakater",346,2018-07-02,"forbyd"
"186.1","Forbyd valgplakater",346,2018-07-02,"valgplakater"
"187","Senere mødetid i folkeskolen og på ungdomsuddannelserne",409,2018-07-05,"senere"
"187.1","Senere mødetid i folkeskolen og på ungdomsuddannelserne",409,2018-07-05,"mødetid"
"187.2","Senere mødetid i folkeskolen og på ungdomsuddannelserne",409,2018-07-05,"folkeskolen"
"187.3","Senere mødetid i folkeskolen og på ungdomsuddannelserne",409,2018-07-05,"ungdomsuddannelserne"
"188","Statsfinansiering af Havdiger",182,2018-07-11,"statsfinansiering"
"188.1","Statsfinansiering af Havdiger",182,2018-07-11,"havdiger"
"189","Karensperiode for ministre",381,2018-07-11,"karensperiode"
"189.1","Karensperiode for ministre",381,2018-07-11,"ministre"
"190","Fjern spærregrænsen på 2 % ved folketingsvalgt",124,2018-07-11,"fjern"
"190.1","Fjern spærregrænsen på 2 % ved folketingsvalgt",124,2018-07-11,"spærregrænsen"
"190.2","Fjern spærregrænsen på 2 % ved folketingsvalgt",124,2018-07-11,"2"
"190.3","Fjern spærregrænsen på 2 % ved folketingsvalgt",124,2018-07-11,"ved"
"190.4","Fjern spærregrænsen på 2 % ved folketingsvalgt",124,2018-07-11,"folketingsvalgt"
"191","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"etablering"
"191.1","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"ét"
"191.2","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"nationalt"
"191.3","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"system"
"191.4","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"elektronisk"
"191.5","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"patientjournal"
"191.6","Etablering af ét nationalt system til elektronisk patientjournal (EPJ).",12726,2018-07-11,"epj"
"192","Obligatorisk mulighed for gratis postevand på restaurationer",273,2018-07-11,"obligatorisk"
"192.1","Obligatorisk mulighed for gratis postevand på restaurationer",273,2018-07-11,"mulighed"
"192.2","Obligatorisk mulighed for gratis postevand på restaurationer",273,2018-07-11,"gratis"
"192.3","Obligatorisk mulighed for gratis postevand på restaurationer",273,2018-07-11,"postevand"
"192.4","Obligatorisk mulighed for gratis postevand på restaurationer",273,2018-07-11,"restaurationer"
"193","Psykiatrien skal på finansloven",5428,2018-07-18,"psykiatrien"
"193.1","Psykiatrien skal på finansloven",5428,2018-07-18,"finansloven"
"194","Bedre forhold for slagtegrise",1425,2018-07-18,"bedre"
"194.1","Bedre forhold for slagtegrise",1425,2018-07-18,"forhold"
"194.2","Bedre forhold for slagtegrise",1425,2018-07-18,"slagtegrise"
"195","# Udnyt Strafferammerne #",283,2018-07-18,"udnyt"
"195.1","# Udnyt Strafferammerne #",283,2018-07-18,"strafferammerne"
"196","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"ændring"
"196.1","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"eksisternede"
"196.2","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"cigaret"
"196.3","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"filtre"
"196.4","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"miljøvenlige"
"196.5","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"cigaret"
"196.6","Ændring af eksisternede cigaret filtre til miljøvenlige cigaret filtre",273,2018-07-19,"filtre"
"197","Medicinsk Kastration af dømte pædofile",279,2018-07-23,"medicinsk"
"197.1","Medicinsk Kastration af dømte pædofile",279,2018-07-23,"kastration"
"197.2","Medicinsk Kastration af dømte pædofile",279,2018-07-23,"dømte"
"197.3","Medicinsk Kastration af dømte pædofile",279,2018-07-23,"pædofile"
"198","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"danmark"
"198.1","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"behøver"
"198.2","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"mere"
"198.3","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"grøn"
"198.4","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"energi"
"198.5","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"nedsæt"
"198.6","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"en"
"198.7","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"arbejdsguppe"
"198.8","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"til"
"198.9","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"genovervejelse"
"198.10","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"af"
"198.11","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"kernekraft"
"198.12","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"i"
"198.13","DANMARK BEHØVER MERE GRØN ENERGI. NEDSÆT EN ARBEJDSGUPPE TIL GENOVERVEJELSE AF KERNEKRAFT I DANMARK.",1237,2018-07-25,"danmark"
"199","Juridisk abort (mænd)",3433,2018-08-01,"juridisk"
"199.1","Juridisk abort (mænd)",3433,2018-08-01,"abort"
"199.2","Juridisk abort (mænd)",3433,2018-08-01,"mænd"
"200","Klima-rationeringssystem",210,2018-08-09,"klima"
"200.1","Klima-rationeringssystem",210,2018-08-09,"rationeringssystem"
"201","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"indførelse"
"201.1","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"gratis"
"201.2","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"offentlig"
"201.3","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"transport"
"201.4","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"26"
"201.5","Indførelse af gratis offentlig transport for alle under 26 år",446,2018-08-09,"år"
"202","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"forslag"
"202.1","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"særlov"
"202.2","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"bevarelse"
"202.3","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"cirkus"
"202.4","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"arenas"
"202.5","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"tre"
"202.6","Forslag til særlov for bevarelse af cirkus Arenas tre elefanter",54,2018-08-09,"elefanter"
"203","Ændret strafferamme ved gentagne forbrydelse",185,2018-08-10,"ændret"
"203.1","Ændret strafferamme ved gentagne forbrydelse",185,2018-08-10,"strafferamme"
"203.2","Ændret strafferamme ved gentagne forbrydelse",185,2018-08-10,"ved"
"203.3","Ændret strafferamme ved gentagne forbrydelse",185,2018-08-10,"gentagne"
"203.4","Ændret strafferamme ved gentagne forbrydelse",185,2018-08-10,"forbrydelse"
"204","Nedfrysning af æg og befrugtede æg",717,2018-08-14,"nedfrysning"
"204.1","Nedfrysning af æg og befrugtede æg",717,2018-08-14,"æg"
"204.2","Nedfrysning af æg og befrugtede æg",717,2018-08-14,"befrugtede"
"204.3","Nedfrysning af æg og befrugtede æg",717,2018-08-14,"æg"
"205","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"e"
"205.1","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"kørekort"
"205.2","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"e"
"205.3","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"sygesikringsbevis"
"205.4","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"app"
"205.5","e-kørekort og e-sygesikringsbevis som app på min telefon.",322,2018-08-16,"telefon"
"206","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"udfasning"
"206.1","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"sprøjtegifte"
"206.2","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"danmark"
"206.3","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"frem"
"206.4","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"økologi"
"206.5","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"undgå"
"206.6","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"pesticider"
"206.7","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"drikkevand"
"206.8","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"beskyt"
"206.9","Udfasning af sprøjtegifte i Danmark: Frem økologi, undgå pesticider i drikkevand og beskyt biodiversiteten.",1160,2018-08-16,"biodiversiteten"
"207","Alkolåse i alle 
nye biler",187,2018-08-16,"alkolåse"
"207.1","Alkolåse i alle 
nye biler",187,2018-08-16,"nye"
"207.2","Alkolåse i alle 
nye biler",187,2018-08-16,"biler"
"208","Stop pensionsalderen fra at skyde i vejret",163,2018-08-20,"stop"
"208.1","Stop pensionsalderen fra at skyde i vejret",163,2018-08-20,"pensionsalderen"
"208.2","Stop pensionsalderen fra at skyde i vejret",163,2018-08-20,"skyde"
"208.3","Stop pensionsalderen fra at skyde i vejret",163,2018-08-20,"vejret"
"209","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"frakendelse"
"209.1","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"kørekort"
"209.2","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"ved"
"209.3","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"brug"
"209.4","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"mobiltelefon"
"209.5","Frakendelse af kørekort ved brug af mobiltelefon under kørsel",194,2018-08-21,"kørsel"
"210","Indfør flyskat i Danmark efter svensk forbillede",1375,2018-08-21,"indfør"
"210.1","Indfør flyskat i Danmark efter svensk forbillede",1375,2018-08-21,"flyskat"
"210.2","Indfør flyskat i Danmark efter svensk forbillede",1375,2018-08-21,"danmark"
"210.3","Indfør flyskat i Danmark efter svensk forbillede",1375,2018-08-21,"svensk"
"210.4","Indfør flyskat i Danmark efter svensk forbillede",1375,2018-08-21,"forbillede"
"211","Indføre VAR i Superligaen i fodbold",57,2018-08-29,"indføre"
"211.1","Indføre VAR i Superligaen i fodbold",57,2018-08-29,"var"
"211.2","Indføre VAR i Superligaen i fodbold",57,2018-08-29,"superligaen"
"211.3","Indføre VAR i Superligaen i fodbold",57,2018-08-29,"fodbold"
"212","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"tillad"
"212.1","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"udsat"
"212.2","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"skolestart"
"212.3","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"børn"
"212.4","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"født"
"212.5","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"andet"
"212.6","Tillad udsat skolestart for børn født i andet halvår",1046,2018-09-05,"halvår"
"213","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"alle"
"213.1","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"børn"
"213.2","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"tilbydes"
"213.3","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"hjernescanning"
"213.4","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"1"
"213.5","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"år"
"213.6","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"forebygge"
"213.7","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"mindske"
"213.8","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"hjerneblødnigner"
"213.9","Alle børn skal TILBYDES en hjernescanning når de 1 år, for at forebygge og mindske hjerneblødnigner hos børn.",32,2018-09-05,"børn"
"214","Stop Statens tyveri af feriepenge",336,2018-09-05,"stop"
"214.1","Stop Statens tyveri af feriepenge",336,2018-09-05,"statens"
"214.2","Stop Statens tyveri af feriepenge",336,2018-09-05,"tyveri"
"214.3","Stop Statens tyveri af feriepenge",336,2018-09-05,"feriepenge"
"215","Skolestart - Folkeskolelovens §34",63,2018-09-05,"skolestart"
"215.1","Skolestart - Folkeskolelovens §34",63,2018-09-05,"folkeskolelovens"
"215.2","Skolestart - Folkeskolelovens §34",63,2018-09-05,"34"
"216","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"forbud"
"216.1","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"imod"
"216.2","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"markedsføring"
"216.3","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"madvareprodukter"
"216.4","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"urelle"
"216.5","Forbud imod markedsføring af madvareprodukter i urelle størrelser",29,2018-09-05,"størrelser"
"217","Rigsfællesskabet på skoleskemaet",2331,2018-09-05,"rigsfællesskabet"
"217.1","Rigsfællesskabet på skoleskemaet",2331,2018-09-05,"skoleskemaet"
"218","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"ophæv"
"218.1","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"maskeringsforbuddet"
"218.2","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"trådte"
"218.3","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"kraft"
"218.4","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"d"
"218.5","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"1"
"218.6","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"august"
"218.7","Ophæv maskeringsforbuddet, der trådte i kraft d. 1. august 2018",8493,2018-09-05,"2018"
"219","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"stop"
"219.1","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"diskrimination"
"219.2","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"danske"
"219.3","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"førtids"
"219.4","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"folkepensionisterfolkepensionister"
"219.5","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"ønsker"
"219.6","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"bosætte"
"219.7","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"udenfor"
"219.8","Stop diskrimination af Danske Førtids- og FolkepensionisterFolkepensionister der ønsker at bosætte sig udenfor Europa",227,2018-09-05,"europa"
"220","obligatorisk køreprøve når man fylder 70.",181,2018-09-12,"obligatorisk"
