"","title","votes","date","word"
"6.1","Grøn mad i alle offentlige køkkener",12344,2018-01-30,"mad"
"6.2","Grøn mad i alle offentlige køkkener",12344,2018-01-30,"offentlige"
"6.3","Grøn mad i alle offentlige køkkener",12344,2018-01-30,"køkkener"
"7","Omskæring af drenge – 18-års grænse",1105,2018-02-01,"omskæring"
"7.1","Omskæring af drenge – 18-års grænse",1105,2018-02-01,"drenge"
"7.2","Omskæring af drenge – 18-års grænse",1105,2018-02-01,"18"
"7.3","Omskæring af drenge – 18-års grænse",1105,2018-02-01,"års"
"7.4","Omskæring af drenge – 18-års grænse",1105,2018-02-01,"grænse"
"8","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"indførelse"
"8.1","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"18"
"8.2","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"års"
"8.3","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"mindstealder"
"8.4","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"omskæring"
"8.5","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"raske"
"8.6","Indførelse af 18 års mindstealder for omskæring af raske børn",53348,2018-02-01,"børn"
"9","Forbud mod råstofudvinding i Øresund",1441,2018-02-01,"forbud"
"9.1","Forbud mod råstofudvinding i Øresund",1441,2018-02-01,"råstofudvinding"
"9.2","Forbud mod råstofudvinding i Øresund",1441,2018-02-01,"øresund"
"10","Ligestilling for ioniserende stråling",280,2018-02-01,"ligestilling"
"10.1","Ligestilling for ioniserende stråling",280,2018-02-01,"ioniserende"
"10.2","Ligestilling for ioniserende stråling",280,2018-02-01,"stråling"
"11","Borgerforslag om afskaffelse af lægekonsulenter",483,2018-02-01,"borgerforslag"
"11.1","Borgerforslag om afskaffelse af lægekonsulenter",483,2018-02-01,"afskaffelse"
"11.2","Borgerforslag om afskaffelse af lægekonsulenter",483,2018-02-01,"lægekonsulenter"
"12","STOP psykiatriseringen af fysisk syge borgere",429,2018-02-01,"stop"
"12.1","STOP psykiatriseringen af fysisk syge borgere",429,2018-02-01,"psykiatriseringen"
"12.2","STOP psykiatriseringen af fysisk syge borgere",429,2018-02-01,"fysisk"
"12.3","STOP psykiatriseringen af fysisk syge borgere",429,2018-02-01,"syge"
"12.4","STOP psykiatriseringen af fysisk syge borgere",429,2018-02-01,"borgere"
"13","Forbyd brug af lægekonsulenter og eksterne aktører.",529,2018-02-01,"forbyd"
"13.1","Forbyd brug af lægekonsulenter og eksterne aktører.",529,2018-02-01,"brug"
"13.2","Forbyd brug af lægekonsulenter og eksterne aktører.",529,2018-02-01,"lægekonsulenter"
"13.3","Forbyd brug af lægekonsulenter og eksterne aktører.",529,2018-02-01,"eksterne"
"13.4","Forbyd brug af lægekonsulenter og eksterne aktører.",529,2018-02-01,"aktører"
"14","Afskaffelse af karakterer systemet",128,2018-02-02,"afskaffelse"
"14.1","Afskaffelse af karakterer systemet",128,2018-02-02,"karakterer"
"14.2","Afskaffelse af karakterer systemet",128,2018-02-02,"systemet"
"15","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"forslag"
"15.1","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"mærkning"
"15.2","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"kød"
"15.3","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"slagtet"
"15.4","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"henhold"
"15.5","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"religiøst"
"15.6","Forslag om mærkning af kød slagtet i henhold til religiøst ritual!",1865,2018-02-02,"ritual"
